# 2026/06/13 - 13:35 | PDB: 24.26 | UniProt: 2026.02
SP_PRIMARY	PDB
A0A024CX39	6ii9;6ii4;6ii8
A0A024E1J5	9raf;9rag
A0A024E1S8	8bv0;9qww
A0A024E1X5	6lxj
A0A024E2M1	4r8w
A0A024E3M6	7z4o
A0A024E3P0	4r8w
A0A024E3Q2	4mwj;4mwu;4mwq;4mwv;4mwr
A0A024FRL9	6ol8;5wih
A0A024FSR7	6ree;6re8;6rec;6rdl;6re0;6rdd;6rdf;6re2;6rd7;9evd;6rdw;6ref;6rep;6ret;6re3;6reb;6rdk;6rdu;6rdq;6rdt;6rdc;6res;6rdo;6rdx;6rd9;6rd8;6re5;6rdr;6rdi;6re9;6rdh;6re6;6rdz;6rd4;6rd5;6rda;6rdn
A0A024FSS5	7ard;7ar9
A0A024GZ97	9g8h;9g43
A0A024H8G7	7qf8;7qfd;7qva
A0A024L327	6iny
A0A024L3Y3	9n11;9n07
A0A024L8R9	6yst;6ysu;6yss
A0A024QYS6	5gqc;5gqg;5gqf
A0A024R7E8	9hwg;8b3f
A0A024S820	6i1t;6i1q;6h7t
A0A024SC78	4psc;4psd;4pse
A0A024UZE1	4z0d;4z0f;5nqf;4z0e;4z09
A0A024V0B1	4zyq;4zx9;4zy0;5cbm;4zy1;4zx8
A0A024V5I6	7z12;7z1h
A0A024W8G7	9y0k
A0A024WGN3	9hml
A0A024WKD7	9qua;9qun;9qu8;9qv9;9quj
A0A024X378	8k9u;8k9v;8k9w;8k9s;8k9x
A0A031MKR8	8ait
A0A031WA69	9gb0;9gaz;9gay
A0A031WAQ9	9gb0;9gaz;9gay
A0A031WDA8	5eri
A0A031WDE4	6vxe;6vxc
A0A031WFB8	8v3w
A0A031WFC4	8v3w;8v3z;8v3t;8v40;8v3x
A0A031WFY8	8v3w
A0A031WG99	8vpg;8vph;8vpi
A0A031WIF2	7l00
A0A031WJ37	9sj9
A0A034W4L8	6djw;6djx
A0A037Y8L6	9cg7;8uqm;9cg6;8urh;8uri;8vwq;8vup;8upr;8ury;8uqp;6lkq;8uql;7cpj;8vv4;8ur0;8urx;9cg5;9ax7;8upo;9ax8
A0A037YFR8	9okr;9oko;9okq;9okp
A0A037YMJ1	7jz6
A0A037YQ84	6s0k
A0A045IPA0	9ijb
A0A045KKY9	7sfr
A0A051TYQ1	6ihg
A0A059PIQ0	7v8a;7a8b;7a7x;7a81;7a8e;28ql;7a7r;7a7v;7a85;7a88;7a8k;7v81;7v80;7a8o;9zg5;7a7p;7a7z;7a89;5wwk;7a8d;9j48;7a82;7v8b;8ubg;7a7y;7a8l;7e53;7a8m;7v82;8j7m;7a7n;7a7t;7a7u;7a86;7a8a;7v86;7v88;7v7z;7v83;7a8c;6h01;7a8f;7a8i;7a7m;7a7o;7a87;7a8n;5bt0;5btt;5mfc;7a8g;7a8h;5yr2;7v85;7v87;7v89;7a7q;7a84;7a80;7a83;5dy6;7v84;7a7s;7a7w;7a8j
A0A059PIR9	7ugr;5yr3;7ugt;7ugs;6l02
A0A059PY24	9k3a
A0A059PY25	9k09
A0A059PY26	9jwb
A0A059PY41	9k09
A0A059PY42	9k2v
A0A059PY91	9k2v
A0A059PY92	9jwb
A0A059PYA7	9jwb
A0A059PYA9	9k09;9k2v
A0A059PYE1	9k3a
A0A059PYE2	9k09
A0A059Q1L6	7ksn
A0A059Q6U2	5zji
A0A059QA82	8tqk;6mjz
A0A059QC28	9b2w
A0A059STC4	7ksc
A0A059T4A1	5tgo;4xqu;4xq5;4qy0;5thc;4qy2;5thb;9bu6;9bu8;5tgv;5th0;5th1;6wf1;4qy1;4xqo;5tgu
A0A059T9V1	8tgt
A0A059TC02	4r1t;4r1s
A0A059TFW7	2n1c;2n30
A0A059TXD8	5m99
A0A059U759	4pvi;4pva
A0A059VAZ3	4ypn;7ypi;7yuu;5e7s;6wqh;7yup;8k3y;7fd4;7cr9;7yuw;7cra;7ypj;7fd5;7yuv;7fie;7yuh;7yut;4ypl;7fiz;7fid;7ypk;7yux;7yum;7yph;4ypm
A0A059VBQ9	5yt9;5yt8;5ykc;6kcj;6iig;6ijt;6in5
A0A059VJE6	7mc9;6w81
A0A059WF38	7ccg
A0A059WLS9	7ex7;9vs5;7ex0;7ex1;7ewy;7ex3;9vs3;7eww;7ex2;7ex9;7ex6;9vs4;7ewx;7ewz;7ex8;7ewu;7ewv;7ex4
A0A059WYP6	5tue;5tuf;5tui
A0A059XVC6	9y1l
A0A059ZFC5	6j3m;6jog;6jnh
A0A059ZJE9	9auw
A0A059ZPG7	5vpu
A0A059ZRB8	7re4;7red;7rea
A0A059ZU64	9l1v
A0A059ZUB2	9ls6
A0A060BIS8	6s9j
A0A060BKX4	8gsc;8gsd;7eak;8gsf;7eai;7eah;7c9x;8gse
A0A060D9Z7	6dhi
A0A060GPP4	4pbe
A0A060GPQ0	4xag
A0A060GPQ5	4xd3
A0A060GSW0	4pcn
A0A060GSW5	4xd5
A0A060GSX0	4xd4;6bhl
A0A060GTM0	4pbf
A0A060GTM7	4xay
A0A060GYS1	6b2f;5wcr;4pcp;5wiz;5wms
A0A060GYS7	8uqz;4xaz;8uqx;8uqy;6bh7;6bhk;8uqw
A0A060GZX0	4xaf;5wcp;5wj0;5wcw
A0A060GZX7	4xd6
A0A060H1D7	6ao9;6aob;6aoa
A0A060H7L8	5w8y
A0A060IEP4	8qtz;8ole
A0A060IEQ1	8olb;8olc
A0A060KSR0	9nyg;9uxl;9uxk;9uxh;9ny5
A0A060KT36	9nyg;9ny1;9uxl;9uxh;9nxx;9uxk;9uxi;9ny5
A0A060KYQ4	9nyg;9ny5
A0A060M4R1	7ev5
A0A060N399	7cy3;7cy9
A0A060NBN8	6bx1
A0A060P168	4yoy;4yox;4yov;4yor;4yow;4yot;4you
A0A060SC37	8rid;8ric;6xut;6xuv;6xuu;8rie
A0A060TAG5	6w54;7kd9
A0A060VGH4	8k7n
A0A060VJP5	8hcn
A0A060VRI4	9bd4
A0A060XYS9	6urs
A0A060Y6X8	5f1s
A0A060ZAA1	5unk
A0A061ACU2	9zis;4pkx;9uoy;4pke;9uox;9zit
A0A061BJP9	7ypd
A0A061FLD4	6cth
A0A061I3X8	7nwh;7nwi;7nwg
A0A061IH64	5mhi
A0A061J677	7ase
A0A061LQM0	6ba8;6ba9
A0A062UZ78	6bxo;6bxn;6bxm
A0A062V290	6u43;6u45;6u44
A0A062WLD9	5jj5
A0A062XY19	9ofc;9ofb;9w1e;9ubm;9ofd;9ubo;9ofe;9w1g;9w1f;9mmw;9ubl;9of1;9w1i;9w1h;9eka;9ebt
A0A063X745	9p4i;9p38
A0A063X754	9p4i;9p38
A0A063X781	9p4i
A0A063X8U6	9p4i;9p38
A0A063XB36	9p4i;9p38
A0A063XCB6	9p4i
A0A063XCG5	9p38;9p4i
A0A063XCH0	9p38;9p4i
A0A063XCP1	9p4i;9p38
A0A063XCR0	9p4i
A0A063XCT1	9p4i;9p38
A0A063XEZ9	9p38
A0A063XF22	9p4i
A0A063XFC1	9p38;9p4i
A0A063XHU6	9p38;9p4i
A0A063XIS2	9p4i;9p38
A0A063Y6V3	6hns
A0A064C3N8	8tx9
A0A066Q637	6nva
A0A066QL39	8qjz;8qk9
A0A066QLB1	7byy
A0A066R7V5	2ru9
A0A066T6R7	7qym
A0A066TYR3	7p22
A0A066ZR71	5y34
A0A067DRZ4	7uwa;7uwd;7uwc;7uw9;7uwb
A0A067E4V9	7uw9;7uwb;7uwa;7uwc
A0A067E666	8ay7;9tb7;9h0i;9tb9;8ay9;5mmq;5mn0;9h0j;8aya;8ay8;9tb8;7avw;5mmx;8ay3;6zuc;9h0h;9tba;9tbb;8ay6
A0A067F7P5	7uwb;7uwd;7uwc;7uwa;7uw9
A0A067FFQ8	7uwd;7uwc;7uwa;7uw9;7uwb
A0A067FRD2	9lgy;9kqg
A0A067FXK2	7uwc;7uwd;7uwb;7uw9;7uwa
A0A067G267	7uwd;7uwb;7uw9;7uwc
A0A067HWN0	4wxt
A0A067N4E7	6fsl;6fsk
A0A067NAT9	8pha
A0A067P7B5	9k47
A0A067SLB9	5n4d;5n4b;5n4e;5n4c
A0A067XG63	4brz
A0A067XG64	4c1o;4c1p
A0A067XG66	4c6h
A0A067XG67	4l0k
A0A067XG68	4l1e
A0A067XG69	4l1e
A0A067XG70	4l2j
A0A067XG71	4l8q
A0A067XG72	4lmv
A0A067XG73	4lmw
A0A067XG75	4n59;4n58
A0A067XIQ6	9gkw;9gkx
A0A067XP68	7t7u
A0A067XP72	7t7u
A0A067XP78	7t7u
A0A067XP79	7t89;7s96;7s97
A0A067XP89	7s96;7t89;7s97
A0A067Y6L0	8ut8;6wxl;8ut9
A0A067Y7N7	4mww;4mwl;4mwy;4mx0;4mwx
A0A067YMZ3	9kd6;9kkl;9kgi
A0A067YRY3	7tja;7tlf
A0A067YS87	7tlf;7tja
A0A067YSJ2	7tja;7tlf
A0A067YX61	5iqt;5iqu;5trq;5iqv;5iqs;5t22;5j4r
A0A067YZ73	5bqy
A0A067YZV9	5bqz;5bny
A0A067Z050	5bqy
A0A068A5A2	6d9t
A0A068B409	7edk
A0A068B6Q6	2nay
A0A068B7P9	8axg
A0A068BCX1	9gyt;9evt
A0A068BEX5	9gyt
A0A068C8U8	5zvp;6jik
A0A068EGP0	9bkq;9ciw
A0A068EP60	6yf7
A0A068F6N5	4pel;4pem
A0A068FT77	6jxg
A0A068J419	6uye;6pci
A0A068JLL8	6uan
A0A068NTE8	10jx;10jy
A0A068PS59	6k0u;6k0q;6k0p;6k0n;6k0m;6k0v;6k0s
A0A068Q5Q5	7w1c;7w1d;7w1e
A0A068QT41	8rdl
A0A068QVX9	6qsp
A0A068QW34	6qsr
A0A068QWX2	6qsr
A0A068QZ94	6qsp
A0A068QZX9	7q6g
A0A069A3L6	9gb2
A0A069A4Z2	9sj6;9sj7
A0A069A654	8xta;8xu0;8xt8
A0A069AE46	8v43;8v3w;8v41
A0A069AL86	6i3g
A0A069AXA0	6yl7
A0A069B2G5	5l03
A0A069BB45	8tcc
A0A069BCC8	8jto
A0A069CUU9	8c8g;6rim
A0A069CVS9	8c8g
A0A069PXC4	9qpe
A0A069PXX1	6spf;6spg;6spe;6spc
A0A069Q0R8	9bjv;9bkh;9bjw;9bk8;9bk4
A0A069Q1D5	8zcx
A0A069Q263	6spc;6spg;6spe;6spf
A0A069Q6I8	7pji
A0A069Q726	7okb
A0A069Q7L2	8khg
A0A069Q9V4	7prg
A0A069QB25	6spf;6spb;6spg;6spd
A0A069QBX1	8i6r;8i6q
A0A069QC44	6spg;6spf;6spb;6spd
A0A069QC99	6spg;6spe;6spc;6spf
A0A069QEB6	6spg;6spb;6spd;6spf
A0A069QEE3	6spg;6spb;6spd;6spf
A0A069QEY1	7e6g
A0A071KWR3	8k3b
A0A071L107	9doh;9doo;9doq;9dor;9dok
A0A071L1S8	9doq;9dor
A0A071L2Z5	9doq;9doo;9dor;9doh;9dok
A0A071L356	6spg;6spf;6spb;6spd
A0A071L394	6spg;6spe;6spf;6spc
A0A071L3R7	6spg;6spe;6spc;6spf
A0A071LDC0	6jff;6jfe;6jf9;6jfd;6jfn;6jfc;6jfa
A0A071LDY1	9dor;9doo;9doq;9doh;9dok
A0A071LFT4	6spd;6spb;6spf;6spg
A0A072PAD1	8jlv
A0A072TMB0	6mt1;6mt2
A0A072U2X9	7bgm;7bgn
A0A072U7F9	8bj2;8bj3;8bj4;8bj1
A0A072UMR6	8e83
A0A072VQG6	7oj5;8qaw;8qax;8qay;8qav
A0A072ZBM5	6spg;6spf;6spd;6spb
A0A072ZBZ2	6spf;6spg;6spb;6spd
A0A072ZCA1	6spg;6spf;6spd;6spb
A0A072ZCW8	6qlh;6qlk;6qlj;6qlv;6qll;6qli
A0A072ZDF7	6spf;6spe;6spc;6spg
A0A072ZDZ0	6spd;6spb;6spg;6spf
A0A072ZDZ9	6spg;6spe;6spf;6spc
A0A072ZG76	8i6q;8i6r
A0A072ZHB4	7e6g
A0A072ZHL9	8wcn
A0A072ZIQ9	6spb;6spd;6spg;6spf
A0A072ZIR4	8cib
A0A072ZJG4	6spf;6spd;6spg;6spb
A0A072ZKF0	6spg;6spd;6spb;6spf
A0A072ZMU2	6spd;6spb;6spg;6spf
A0A072ZNL3	8ecp;8ecx;8eif
A0A072ZPM2	5gmb;5gm8;5gmc
A0A072ZPV8	6spf;6spe;6spc;6spg
A0A073A0N3	9v75;9v6l
A0A074MDU6	6kf1;7w8n;6kf7;7cip;7ci0;6keu;6kf5;7cih
A0A074W9U7	6uba;6ubb;6ub8
A0A074Z863	5zg4;5zfx;5zga;5zg5
A0A075B5G0	3wtg
A0A075B5G2	4lm6
A0A075B5G3	4ov6
A0A075B5G4	4oyl;4oyy
A0A075B5G5	4p99
A0A075B5G8	4plc;4plf;4plg
A0A075B5H0	4plv;4ply;4plt
A0A075B5H2	4plw;4plh
A0A075B5H4	4tkm;4tkl
A0A075B5H6	4uoj;4cvu
A0A075B5K0	8zd5;8zd6
A0A075B5S3	8zd5;8zd6
A0A075B6C4	7n4k;7n5p;3pqy;7n5c
A0A075B6N1	5hho;5nqk;5hhm
A0A075B6T6	8rlt;1ao7;6dkp;8rlu;5nht;8rlv;5e9d;4zdh
A0A075B6U7	7ndq;7ndu
A0A075BFD8	9veg;9vej
A0A075BFL2	9vek;9veg;9vej
A0A075BSX9	6cr0
A0A075C6T6	4nrs;4nrr
A0A075DN54	4z14;4z0y;4z11;4z10;4z13;4z0z;4z12
A0A075DWU3	9kqb
A0A075E2Q1	5weg
A0A075E3D7	6b7n
A0A075ECV2	7f0u
A0A075ETL7	6n6b
A0A075EV12	6wzt
A0A075LPR4	9hta
A0A075LQ94	8uci;8uch;8ucg;8uce;8ucf
A0A075ML49	5wpn
A0A075Q0W3	6mka;8f67;9d25;6mkj;6mkf;6mkg
A0A075QAW4	8x97;8ytb;8x95;8ytj;8x96
A0A075R4X6	6lwy
A0A075TRK9	8bxl
A0A075U1V9	9lb7;9lb6
A0A075W2R1	9kc5
A0A075WKW4	8qg0;8pvv;8ok9;8olj;8old
A0A075X7C6	8acv;8aut
A0A075X7F9	6gem
A0A076EAP1	9hd7;8bd3
A0A076EAR3	9hd7;8bd3
A0A076FT28	6qi5
A0A076FT36	6qi5
A0A076FYU8	6qi5
A0A076FYV2	6qi5
A0A076FYV7	6qi5
A0A076G8X7	8ume
A0A076JB57	5f4j
A0A076JEK1	7zqi;9qg8;7zqj
A0A076JQ90	9k4i
A0A076L2E2	8auv;8b2l
A0A076ML24	6dk2
A0A076MPD7	4yhe;4yhg
A0A076MY51	5omu;5ncb
A0A076MZ01	5ogx
A0A076N502	7k1s
A0A076NBW8	5z54;5wpp;5yvl;6al6;6al7;5wpr;6al8;5wps;5wpu
A0A076PYH9	7x2y;7x1x;7wzd
A0A076U926	5jx5;6idw
A0A076V8I4	8c6v
A0A076YHT9	7dab
A0A076YIY5	5gzw
A0A076YM08	9fzx
A0A076YWK5	6zza;6zz9
A0A077D153	7nrh;7o9s;8zgu;7nks;5opg
A0A077E909	6b1z
A0A077E919	5viu
A0A077EA44	7n7s
A0A077EAN3	6auj
A0A077EBQ3	6wng
A0A077EBU6	6n0w
A0A077ECF2	6an0
A0A077EDR1	6d9n
A0A077EDS4	6aph
A0A077EEP0	6bn2
A0A077EER2	6mtk
A0A077EEZ5	6phe
A0A077EFA5	6cy1;6cy5
A0A077EGR8	6n7l
A0A077EHW1	8dt6
A0A077EJ65	6ude
A0A077EJG6	6ojm
A0A077EJK0	6udg
A0A077EJP9	7miw
A0A077ELH2	8du1
A0A077ELH4	6uzi
A0A077EMQ8	5vpr
A0A077ENB9	6c46
A0A077EQ93	6bzc;6bzb
A0A077EWA5	8z8o;8z8s;8uke;8xe3;8z8r;8zfw;8z8t;8xe4;8z8p;8xe5
A0A077GFB1	7krk;7krm
A0A077GKT8	7yxv
A0A077JBW9	5ioj;5hrm
A0A077JG85	6ltb;6ltd;6lta;6ltc
A0A077JI83	6lgh;6lgb;6lgc;6lgd;6lgf;6lgg;6lga;6lgi;6lge
A0A077K7L1	5gm2;5gm1
A0A077K887	4yzl;4yzk;4yzj
A0A077KEB8	6j83;8jrl;6j84;6j82
A0A077KPD5	8yk5
A0A077KT11	5jjq
A0A077KT80	6bpf;6bn3
A0A077KUW8	6akd
A0A077L6X8	5xf9;5xfa
A0A077L7R5	5xf9;5xfa
A0A077L885	5xfa;5xf9
A0A077LAI5	5xfa;5xf9
A0A077LQB4	9tsn;4yy8
A0A077RZD1	8ipb;8ip8;8ip9;8ipa
A0A077TLQ4	6zyv
A0A077UDU1	5ngm
A0A077UG91	5t7v;6s12;5ngm;6s0z;6s0x;6s13;7aso;7asp;7p48
A0A077UGA7	7asp;6s13;7p48;7aso;5t7v;6s0z;6s12;5ngm;6s0x
A0A077UGV8	6fxc;6s12;6s13;5t7v;7p48;7asp;6s0x;5ngm;7aso;6s0z
A0A077UGW7	7asp;7p48;7aso;6s0x;5ngm;6s13
A0A077UHS1	5ngm
A0A077UKD6	5t7v;7p48;7asp;6s0x;5ngm;7aso;6s13
A0A077UKF9	6s0z;5ngm;7p48;6s12;6s0x;6s13;5t7v
A0A077UL47	6s0z;5ngm;7asp;6s0x;7p48;6s13;6s12;5t7v
A0A077ULC5	6s12;6s0x;6s0z;7aso;7asp;6s13
A0A077URJ8	7p48;6s13;7aso;6s12;7asp;5t7v;5ngm;6s0x;6s0z
A0A077UU26	6s13;7aso;5ngm;7p48;6s0x;7asp
A0A077UUA0	5ngm;7aso;5t7v;6s13;6s0x;6s12;7asp;7p48;6s0z
A0A077UVB6	6s0x;6s12;6s13;7asp;5ngm;6s0z;5t7v;7p48
A0A077UWR7	5ngm
A0A077UXT4	5t7v
A0A077UZF4	7p48;7asp;6s13;7aso;6s0x;5ngm
A0A077V0P8	5ngm;7aso
A0A077V2P0	6fxc;5ngm;6s0z;6s0x;6s13;7p48;7asp;7aso;6s12
A0A077V4G0	5t7v;7aso;7p48;6s13;5ngm;6s12;6s0z;7asp;6s0x
A0A077VHU6	7asp;7p48;7aso;6s13;5ngm;6s0x;6fxc
A0A077VLD5	7asp;7aso;6s0x;5ngm;6s13;5t7v;7p48
A0A077VMP6	7asp;6s0x;7aso;6s0z;5t7v;7p48;5ngm;6s12;6s13
A0A077W1J0	5ngm
A0A077W1J5	6s13;6s0z;6s0x;6s12;5t7v;7asp;7aso
A0A077WSJ1	9drz
A0A078FCZ9	9evt
A0A078GRH6	6hmz
A0A078I5F5	9evt
A0A078K1U6	4rmp
A0A078K4M9	4rmp
A0A078L5T0	8twf
A0A078MGG8	8ais
A0A078N0N2	2mmv
A0A078SSU5	6d1p
A0A078SUX9	6d50;6d8g;5uj6
A0A080WMA9	4zhs;4zic
A0A081CEG8	5knl
A0A081GU02	6gie
A0A081GYS3	7v0f
A0A081HJP9	7v8t
A0A081KBI6	8xuj
A0A081LSX6	8ji9
A0A081TVR9	6uss
A0A084FYP2	6trv
A0A084JZF2	6d2c;6d3u
A0A085BE66	8hy8;9lmq;8hwj;9lmr
A0A085CCI2	7tfc
A0A085GHR3	8hoe;6pwg;6pwd
A0A085LU44	6g9c;6g9e
A0A085NCI8	8qk1
A0A085NFU1	6v4m
A0A085R2T8	7qxm;8a3v
A0A085R4L6	8tzl
A0A085R7B5	9k8v
A0A085SLP2	8i5k;8i5j
A0A085U4N5	9hrj;9if3;9hrp;9ht5
A0A086HZU3	7d09;7d06;6ic4;7d0a;7d08
A0A086I049	9us7
A0A086IRG1	9rq6;9rq7;9rq1;9rq4;9rqc;9rpx;9rq8;9rq2;9rqe;9rqh;9rpz;9rq5;9rqd;9rqf;9rq3;9rq0;9rqa;9rqb;9rqg;9tei;9s5b;8r37;9rpy;9rq9
A0A086KM91	9ya1
A0A086KMN2	9ya2
A0A086KR31	9y9z
A0A086KRX4	9y9z
A0A086RSH0	8jfn;8jfm;8jfj
A0A086SLX8	5cxk
A0A086SY89	5mrj
A0A086T6R4	5m2d
A0A087D8U9	7v6i
A0A087I947	5b70;5x0v;5x0q;5b7d;5b7h
A0A087IWB4	5fhk;5x0n;5x0o
A0A087L9L7	6spg;6spb;6spf;6spd
A0A087LGV4	6tgj;6tpq;6z2b
A0A087VZV0	9uoz
A0A087WNH1	3wfl
A0A087WNH2	4cuo
A0A087WNH4	7uck;7syp;3jag;9q2o;9q1s;7obr;7qws;8vvq;8vvs;9ndp;9ypw;9bdp;6fti;7syi;7syk;7o7y;7o7z;7sym;7syn;9q2p;8vvr;8vft;9ogy;9ypo;8bhf;7nwi;9ypt;7syl;7syo;7syu;9bdl;8bpo;9ypv;9h74;7qwq;8scb;7ucj;9bdn;3jai;6p4h;6ftg;7nfx;6r6p;7tut;7syg;9qqa;9uzm;6sgc;6yan;6p5k;7o80;7syt;8b5l;7tm3;7zjx;8rjd;8q7z;9q2m;9cpa;9yq0;9ypg;6p4g;6r5q;7o81;6zvk;6p5j;6p5n;7syr;7syw;7qwr;8rjb;8vvp;8vvt;8p03;9yps;9f1c;9uzk;7oyd;7zjw;8p09;8sup;9q7q;9rhu;9f1d;8vvv;7mdz;7syv;7syj;6t59;6ftj;6p5i;7sys;8q87;8rjc;8p2k;9q2t;9q1q;6r6g;7a01;6r7q;7syx;9f1b;9uzl;9yq1;9ypy;8vvu;7syh;7nwg;8btk;9h6y;9mr4;9ypz;5lzu;6yal;6yam;7tor;7nwh;7syq;8b6c;9qqb;3jah
A0A087WNH6	6exi;5m5k;4lvc;5m65;5m66;5m67
A0A087WNH8	4p15
A0A087WRI3	8i7o;8i7r;8iyj;9v10
A0A087WSZ9	5wkh;5wkf
A0A087WT01	5hho;5hhm
A0A087WT03	5wki;7ndt
A0A087WWS6	3ux9
A0A087X096	7ndt
A0A087X2I1	7w3j;9k4m;9k4r;9u3l;9k53;9k5e;7w3m;7w38;9k56;9k5c;7w3b;9k4t;9k4l;9k59;22mm;7w3g;7w3c;9mbp;9k4v;9k4z;9heu;9k4j;9k58;9nkg;9nki;9k55;9szv;9nkj;7w3h;9k4s;7w3i;9k51;7w3k;9szt;7w37;9k4u;9k50;9k54;9u4m;9k4p;9k5b;6wjd;9nkf;9k4w;7w3a;7w3f;9k4k;9k57;9k4y;9k4x;9k5d;9u7r;9k5a;9k4o;7w39
A0A088BCU2	5xd0
A0A088BEK2	6idd
A0A088CB91	4rnc
A0A088D986	9lrq
A0A088DBJ8	8k56;8k51
A0A088DIE1	8ppk
A0A088E2H7	6ihe;6ihd
A0A088FL33	7v40;7v46;7v45;7v44;7v43;7v42;7v41
A0A088FLK9	6fhg
A0A088STQ5	4po4
A0A088T0J9	4zzw;5amp;4zzt;4zzv;4zzu
A0A089GJI0	9jii;9jil
A0A089M3R3	6p2n
A0A089YV40	9az1
A0A090A233	6ox6
A0A090BWT0	5h4s
A0A090BZT4	9ax8;6lkq
A0A090BZW5	9sx2
A0A090CRQ5	4y6w;4y6c
A0A090IW71	8yye
A0A090IXS5	9fn5
A0A090KI56	4r4z;4r4x
A0A090KS30	7azu;6zu3;6ztu
A0A090LYE8	8hg5;7yca
A0A090M1L8	7yca
A0A090M4C4	7u6o
A0A090M7B0	7yca
A0A090N3J0	7yca
A0A090T942	7q6f;7q6i
A0A091R6U3	9mrn;9mrl;9mrk;9mrm
A0A091SV96	5lus
A0A093VKV7	6j6f;5fb7;5csd
A0A094NJQ6	6pjx
A0A094YZ24	6loo;6lop;5yo8
A0A094ZWQ2	5tiy;5tix;5tiv;5tiw;6b52;6uuy;6b51;6b53;6b54
A0A095T5Z8	7lgn
A0A096F4H2	6uvu
A0A096LNF0	4wgg;4mkr;4we3;4nh4
A0A096LNF1	4w7i
A0A096P8D3	6ixn;6ixt;6ixl;7e2w
A0A096P8E8	7yca
A0A096P9N0	7yca
A0A096PAU9	7yca
A0A096PB86	7yca
A0A096SRM5	8cgq;6lf6
A0A096YDU4	9kr4
A0A096YGU7	6j5f
A0A096ZH83	8f70;6n0a;8f5n
A0A096ZHB0	6bbw
A0A097ATG3	8bew;8a6t
A0A097ATG4	8a6t;8bew
A0A097ATH7	7qv7
A0A097ATI0	8a6t;8bew
A0A097ATJ9	7qv7
A0A097ATK5	7qv7
A0A097ATK6	7qv7
A0A097BVP4	7v98;7v9r
A0A097BW12	7ebr;6csh;7ec5;7ecy;9b1a;6crr;6cs4;6cru;6crs;6wds;7taf;9b18;6mzi;7l8h;6cs3;9pi8;6cs6;7ebz;9b19;6crp;9b1b;7tah;7t9p;6csg;8fl5;6cs5;6csa;6wdt;7tag;7taj
A0A097BW19	7lw2;9c8h;9c4a;9c8g;7mg0
A0A097C0M3	7y57
A0A097F4I8	7ckl;7ela
A0A097F4L1	6klc;7ckl;7ela
A0A097F8N9	6x2k
A0A097F8Q2	6aj7;6aj9;6aj0;6aj3;6aj2
